horario,tensao_p1(V),tensao_p2(V),irradiacao(W/m2)
2022-08-21 18:27:11.874405,0.0,0.0,null
2022-08-21 18:27:11.974416,0.0,0.0,null
2022-08-21 18:27:12.074405,0.0,0.0,null
2022-08-21 18:27:12.174407,0.0,0.0,null
2022-08-21 18:27:12.274407,0.0,0.0,null
2022-08-21 18:27:12.374404,0.0,0.0,null
2022-08-21 18:27:12.474452,0.0,0.0,null
2022-08-21 18:27:12.574415,0.0,0.0,null
2022-08-21 18:27:12.674416,0.0,0.0,null
2022-08-21 18:27:12.774414,0.0,0.0,null
2022-08-21 18:27:12.874414,0.0,0.0,null
2022-08-21 18:27:12.974424,0.0,0.0,null
2022-08-21 18:27:13.074409,0.0,0.0,null
2022-08-21 18:27:13.174417,0.0,0.0,null
2022-08-21 18:27:13.274404,0.0,0.0,null
2022-08-21 18:27:13.374423,0.0,0.0,null
2022-08-21 18:27:13.474418,0.0,0.0,null
2022-08-21 18:27:13.574416,0.0,0.0,null
2022-08-21 18:27:13.674413,0.0,0.0,null
2022-08-21 18:27:13.774464,0.0,0.0,null
2022-08-21 18:27:13.874406,0.0,0.0,null
2022-08-21 18:27:13.974426,0.0,0.0,null
2022-08-21 18:27:14.074473,0.0,0.0,null
2022-08-21 18:27:14.174426,0.0,0.0,null
2022-08-21 18:27:14.274427,0.0,0.0,null
2022-08-21 18:27:14.374428,0.0,0.0,null
2022-08-21 18:27:14.474431,0.0,0.0,null
2022-08-21 18:27:14.574425,0.0,0.0,null
2022-08-21 18:27:14.674427,0.0,0.0,null
2022-08-21 18:27:14.774425,0.0,0.0,null
2022-08-21 18:27:14.874424,0.0,0.0,null
2022-08-21 18:27:14.974438,0.0,0.0,null
2022-08-21 18:27:15.074426,0.0,0.0,null
2022-08-21 18:27:15.174416,0.0,0.0,null
2022-08-21 18:27:15.274427,0.0,0.0,null
2022-08-21 18:27:15.374430,0.0,0.0,null
2022-08-21 18:27:15.474429,0.0,0.0,null
2022-08-21 18:27:15.574431,0.0,0.0,null
2022-08-21 18:27:15.674432,0.0,0.0,null
2022-08-21 18:27:15.774428,0.0,0.0,null
2022-08-21 18:27:15.874432,0.0,0.0,null
2022-08-21 18:27:15.974432,0.0,0.0,null
2022-08-21 18:27:16.074431,0.0,0.0,null
2022-08-21 18:27:16.174431,0.0,0.0,null
2022-08-21 18:27:16.274429,0.0,0.0,null
2022-08-21 18:27:16.374453,0.0,0.0,null
2022-08-21 18:27:16.474430,0.0,0.0,null
2022-08-21 18:27:16.574430,0.0,0.0,null
2022-08-21 18:27:16.674431,0.0,0.0,null
2022-08-21 18:27:16.774431,0.0,0.0,null
2022-08-21 18:27:16.874430,0.0,0.0,null
2022-08-21 18:27:16.974431,0.0,0.0,null
2022-08-21 18:27:17.074428,0.0,0.0,null
2022-08-21 18:27:17.174433,0.0,0.0,null
2022-08-21 18:27:17.274434,0.0,0.0,null
2022-08-21 18:27:17.374447,0.0,0.0,null
2022-08-21 18:27:17.474427,0.0,0.0,null
2022-08-21 18:27:17.574428,0.0,0.0,null
2022-08-21 18:27:17.674431,0.0,0.0,null
2022-08-21 18:27:17.774431,0.0,0.0,null
2022-08-21 18:27:17.874429,0.0,0.0,null
2022-08-21 18:27:17.974474,0.0,0.0,null
2022-08-21 18:27:18.074431,0.0,0.0,null
2022-08-21 18:27:18.174428,0.0,0.0,null
2022-08-21 18:27:18.274431,0.0,0.0,null
2022-08-21 18:27:18.374430,0.0,0.0,null
2022-08-21 18:27:18.474431,0.0,0.0,null
2022-08-21 18:27:18.574430,0.0,0.0,null
2022-08-21 18:27:18.674432,0.0,0.0,null
2022-08-21 18:27:18.774431,0.0,0.0,null
2022-08-21 18:27:18.874430,0.0,0.0,null
2022-08-21 18:27:18.974430,0.0,0.0,null
2022-08-21 18:27:19.074429,0.0,0.0,null
2022-08-21 18:27:19.174429,0.0,0.0,null
2022-08-21 18:27:19.274430,0.0,0.0,null
2022-08-21 18:27:19.374425,0.0,0.0,null
2022-08-21 18:27:19.474424,0.0,0.0,null
2022-08-21 18:27:19.574426,0.0,0.0,null
2022-08-21 18:27:19.674428,0.0,0.0,null
2022-08-21 18:27:19.774421,0.0,0.0,null
2022-08-21 18:27:19.874427,0.0,0.0,null
2022-08-21 18:27:19.974426,0.0,0.0,null
2022-08-21 18:27:20.074426,0.0,0.0,null
2022-08-21 18:27:20.174426,0.0,0.0,null
2022-08-21 18:27:20.274410,0.0,0.0,null
2022-08-21 18:27:20.374417,0.0,0.0,null
2022-08-21 18:27:20.474491,0.0,0.0,null
2022-08-21 18:27:20.574405,0.0,0.0,null
2022-08-21 18:27:20.674404,0.0,0.0,null
2022-08-21 18:27:20.774420,0.0,0.0,null
2022-08-21 18:27:20.874424,0.0,0.0,null
2022-08-21 18:27:20.974411,0.0,0.0,null
2022-08-21 18:27:21.074411,0.0,0.0,null
2022-08-21 18:27:21.174409,0.0,0.0,null
2022-08-21 18:27:21.274410,0.0,0.0,null
2022-08-21 18:27:21.374406,0.0,0.0,null
2022-08-21 18:27:21.474426,0.0,0.0,null
2022-08-21 18:27:21.574413,0.0,0.0,null
2022-08-21 18:27:21.674420,0.0,0.0,null
2022-08-21 18:27:21.774465,0.0,0.0,null
2022-08-21 18:27:21.874474,0.0,0.0,null
2022-08-21 18:27:21.974408,0.0,0.0,null
2022-08-21 18:27:22.074407,0.0,0.0,null
2022-08-21 18:27:22.174412,0.0,0.0,null
2022-08-21 18:27:22.274405,0.0,0.0,null
2022-08-21 18:27:22.374409,0.0,0.0,null
2022-08-21 18:27:22.474405,0.0,0.0,null
2022-08-21 18:27:22.574405,0.0,0.0,null
2022-08-21 18:27:22.674409,0.0,0.0,null
2022-08-21 18:27:22.774412,0.0,0.0,null
2022-08-21 18:27:22.874405,0.0,0.0,null
2022-08-21 18:27:22.974409,0.0,0.0,null
2022-08-21 18:27:23.074406,0.0,0.0,null
2022-08-21 18:27:23.174411,0.0,0.0,null
2022-08-21 18:27:23.274406,0.0,0.0,null
2022-08-21 18:27:23.374416,0.0,0.0,null
2022-08-21 18:27:23.474452,0.0,0.0,null
2022-08-21 18:27:23.574406,0.0,0.0,null
2022-08-21 18:27:23.674410,0.0,0.0,null
2022-08-21 18:27:23.774407,0.0,0.0,null
2022-08-21 18:27:23.874507,0.0,0.0,null
2022-08-21 18:27:23.974419,0.0,0.0,null
2022-08-21 18:27:24.074424,0.0,0.0,null
2022-08-21 18:27:24.174407,0.0,0.0,null
2022-08-21 18:27:24.274415,0.0,0.0,null
2022-08-21 18:27:24.374407,0.0,0.0,null
2022-08-21 18:27:24.474407,0.0,0.0,null
2022-08-21 18:27:24.574409,0.0,0.0,null
2022-08-21 18:27:24.674404,0.0,0.0,null
2022-08-21 18:27:24.774403,0.0,0.0,null
2022-08-21 18:27:24.874402,0.0,0.0,null
2022-08-21 18:27:24.974403,0.0,0.0,null
2022-08-21 18:27:25.074403,0.0,0.0,null
2022-08-21 18:27:25.174435,0.0,0.0,null
2022-08-21 18:27:25.274415,0.0,0.0,null
2022-08-21 18:27:25.374417,0.0,0.0,null
2022-08-21 18:27:25.474430,0.0,0.0,null
2022-08-21 18:27:25.574428,0.0,0.0,null
2022-08-21 18:27:25.674423,0.0,0.0,null
2022-08-21 18:27:25.774429,0.0,0.0,null
2022-08-21 18:27:25.874412,0.0,0.0,null
2022-08-21 18:27:25.974408,0.0,0.0,null
2022-08-21 18:27:26.074406,0.0,0.0,null
2022-08-21 18:27:26.174407,0.0,0.0,null
2022-08-21 18:27:26.274409,0.0,0.0,null
2022-08-21 18:27:26.374405,0.0,0.0,null
2022-08-21 18:27:26.474400,0.0,0.0,null
2022-08-21 18:27:26.574397,0.0,0.0,null
2022-08-21 18:27:26.674394,0.0,0.0,null
2022-08-21 18:27:26.774399,0.0,0.0,null
2022-08-21 18:27:26.874402,0.0,0.0,null
2022-08-21 18:27:26.974411,0.0,0.0,null
2022-08-21 18:27:27.074411,0.0,0.0,null
2022-08-21 18:27:27.174407,0.0,0.0,null
2022-08-21 18:27:27.274423,0.0,0.0,null
2022-08-21 18:27:27.374452,0.0,0.0,null
2022-08-21 18:27:27.474407,0.0,0.0,null
2022-08-21 18:27:27.574403,0.0,0.0,null
2022-08-21 18:27:27.674406,0.0,0.0,null
2022-08-21 18:27:27.774407,0.0,0.0,null
2022-08-21 18:27:27.874412,0.0,0.0,null
2022-08-21 18:27:27.974408,0.0,0.0,null
2022-08-21 18:27:28.074418,0.0,0.0,null
2022-08-21 18:27:28.174461,0.0,0.0,null
2022-08-21 18:27:28.274411,0.0,0.0,null
2022-08-21 18:27:28.374406,0.0,0.0,null
2022-08-21 18:27:28.474407,0.0,0.0,null
2022-08-21 18:27:28.574403,0.0,0.0,null
2022-08-21 18:27:28.674403,0.0,0.0,null
2022-08-21 18:27:28.774403,0.0,0.0,null
2022-08-21 18:27:28.874405,0.0,0.0,null
2022-08-21 18:27:28.974408,0.0,0.0,null
2022-08-21 18:27:29.074400,0.0,0.0,null
2022-08-21 18:27:29.174403,0.0,0.0,null
2022-08-21 18:27:29.274406,0.0,0.0,null
2022-08-21 18:27:29.374408,0.0,0.0,null
2022-08-21 18:27:29.474406,0.0,0.0,null
2022-08-21 18:27:29.574434,0.0,0.0,null
2022-08-21 18:27:29.674432,0.0,0.0,null
2022-08-21 18:27:29.774431,0.0,0.0,null
